[21:26:24] [main/INFO] (FabricLoader/GameProvider) Loading Minecraft 1.21.8 with Fabric Loader 0.16.9
[21:26:24] [main/DEBUG] (FabricLoader/GamePatch) Found game constructor: net.minecraft.client.main.Main -> net.minecraft.client.MinecraftClient
[21:26:24] [main/DEBUG] (FabricLoader/GamePatch) Patching game constructor <init>(Lnet/minecraft/client/RunArgs;)V
[21:26:24] [main/DEBUG] (FabricLoader/GamePatch) Run directory field is thought to be net/minecraft/client/MinecraftClient/runDirectory
[21:26:24] [main/DEBUG] (FabricLoader/GamePatch) Applying brand name hook to net/minecraft/client/ClientBrandRetriever::getClientModName
[21:26:24] [main/DEBUG] (FabricLoader/GamePatch) Applying brand name hook to net/minecraft/server/MinecraftServer::getServerModName
[21:26:24] [main/DEBUG] (FabricLoader/Mappings) Loading mappings took 115 ms
[21:26:24] [main/DEBUG] (FabricLoader/GamePatch) Patched 3 classs
[21:26:24] [main/DEBUG] (FabricLoader/Discovery) Mod discovery time: 15,0 ms
[21:26:24] [main/WARN] (FabricLoader/Resolution) Mod resolution failed
[21:26:24] [main/INFO] (FabricLoader/Resolution) Immediate reason: [HARD_DEP craftmessage 1.0.0 {depends fabric-api @ [*]}, HARD_DEP_NO_CANDIDATE fabric-api 0.134.0+1.21.8 {depends fabricloader @ [>=0.16.13]}, ROOT_FORCELOAD_SINGLE craftmessage 1.0.0]
[21:26:24] [main/INFO] (FabricLoader/Resolution) Reason: [HARD_DEP fabric-api 0.134.0+1.21.8 {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-api-base 0.5.0+cd8c0daa2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-api-lookup-api-v1 1.6.101+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-lifecycle-events-v1 2.6.4+db4dfd852c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-biome-api-v1 16.1.0+c21d71cc2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-block-api-v1 1.1.3+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-block-view-api-v2 1.0.31+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-client-gametest-api-v1 4.2.5+8a98c3fc2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-resource-loader-v0 3.1.12+020423442c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-command-api-v2 2.3.1+52fff9ec2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-content-registries-v0 10.1.0+c75de69d2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-convention-tags-v1 2.1.41+7f945d5b2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-convention-tags-v2 2.15.6+eb5df52f2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-crash-report-info-v1 0.3.15+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-data-attachment-api-v1 1.8.13+38b5f74e2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-entity-events-v1 2.1.2+c9e472732c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-object-builder-api-v1 21.1.9+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-networking-api-v1 5.0.3+4ddbf91b2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-data-generation-api-v1 23.2.7+2e1c6d322c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-recipe-api-v1 8.1.16+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-registry-sync-v0 6.1.29+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-resource-conditions-api-v1 5.0.25+98e6d6db2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-tag-api-v1 1.2.2+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-dimensions-v1 4.0.20+948fc79a2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-events-interaction-v0 4.0.25+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-game-rule-api-v1 1.0.73+c64c9c5b2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-gametest-api-v1 3.1.10+39ce47f52c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-item-api-v1 11.5.0+02ce13f42c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-item-group-api-v1 4.2.14+c5f9bbc12c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-key-binding-api-v1 1.0.65+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-loot-api-v2 3.0.56+3f89f5a52c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-loot-api-v3 2.0.3+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-message-api-v1 6.1.2+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-model-loading-api-v1 5.2.7+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-renderer-api-v1 7.0.4+208eed172c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-particles-v1 4.1.9+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-rendering-v1 12.5.1+fbe231d52c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-renderer-indigo 4.0.4+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-rendering-fluids-v1 3.1.31+fa6cb72b2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-screen-api-v1 2.2.0+e0cb65d02c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-screen-handler-api-v1 1.3.138+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-serialization-api-v1 1.0.0+fc0e5aba2c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-sound-api-v1 1.0.42+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-transfer-api-v1 6.0.6+946bf4c32c {depends fabricloader @ [>=0.16.13]}, HARD_DEP fabric-transitive-access-wideners-v1 6.5.0+c847ce762c {depends fabricloader @ [>=0.16.13]}]
[21:26:24] [main/INFO] (FabricLoader/Resolution) Fix: add [], remove [], replace [[fabricloader 0.16.9] -> add:fabricloader 0.16.13 ([[0.16.13,∞)])]
[21:26:24] [main/ERROR] (FabricLoader) Incompatible mods found!
net.fabricmc.loader.impl.FormattedException: Some of your mods are incompatible with the game or each other!
A potential solution has been determined, this may resolve your problem:
	 - Replace mod 'Fabric Loader' (fabricloader) 0.16.9 with version 0.16.13 or later.
More details:
	 - Mod 'Fabric API' (fabric-api) 0.134.0+1.21.8 requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric API Base' (fabric-api-base) 0.5.0+cd8c0daa2c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric API Lookup API (v1)' (fabric-api-lookup-api-v1) 1.6.101+946bf4c32c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Lifecycle Events (v1)' (fabric-lifecycle-events-v1) 2.6.4+db4dfd852c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Biome API (v1)' (fabric-biome-api-v1) 16.1.0+c21d71cc2c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Block API (v1)' (fabric-block-api-v1) 1.1.3+946bf4c32c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric BlockView API (v2)' (fabric-block-view-api-v2) 1.0.31+946bf4c32c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Client Game Test API (v1)' (fabric-client-gametest-api-v1) 4.2.5+8a98c3fc2c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Resource Loader (v0)' (fabric-resource-loader-v0) 3.1.12+020423442c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Command API (v2)' (fabric-command-api-v2) 2.3.1+52fff9ec2c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Content Registries (v0)' (fabric-content-registries-v0) 10.1.0+c75de69d2c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Convention Tags' (fabric-convention-tags-v1) 2.1.41+7f945d5b2c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Convention Tags (v2)' (fabric-convention-tags-v2) 2.15.6+eb5df52f2c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Crash Report Info (v1)' (fabric-crash-report-info-v1) 0.3.15+946bf4c32c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Data Attachment API (v1)' (fabric-data-attachment-api-v1) 1.8.13+38b5f74e2c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Entity Events (v1)' (fabric-entity-events-v1) 2.1.2+c9e472732c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Object Builder API (v1)' (fabric-object-builder-api-v1) 21.1.9+946bf4c32c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Networking API (v1)' (fabric-networking-api-v1) 5.0.3+4ddbf91b2c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Data Generation API (v1)' (fabric-data-generation-api-v1) 23.2.7+2e1c6d322c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Recipe API (v1)' (fabric-recipe-api-v1) 8.1.16+946bf4c32c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Registry Sync (v0)' (fabric-registry-sync-v0) 6.1.29+946bf4c32c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Resource Conditions API (v1)' (fabric-resource-conditions-api-v1) 5.0.25+98e6d6db2c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Tag API (v1)' (fabric-tag-api-v1) 1.2.2+946bf4c32c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Dimensions API (v1)' (fabric-dimensions-v1) 4.0.20+948fc79a2c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Events Interaction (v0)' (fabric-events-interaction-v0) 4.0.25+946bf4c32c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Game Rule API (v1)' (fabric-game-rule-api-v1) 1.0.73+c64c9c5b2c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Game Test API (v1)' (fabric-gametest-api-v1) 3.1.10+39ce47f52c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Item API (v1)' (fabric-item-api-v1) 11.5.0+02ce13f42c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Item Group API (v1)' (fabric-item-group-api-v1) 4.2.14+c5f9bbc12c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Key Binding API (v1)' (fabric-key-binding-api-v1) 1.0.65+946bf4c32c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Loot API (v2)' (fabric-loot-api-v2) 3.0.56+3f89f5a52c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Loot API (v3)' (fabric-loot-api-v3) 2.0.3+946bf4c32c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
	 - Mod 'Fabric Message API (v1)' (fabric-message-api-v1) 6.1.2+946bf4c32c requires version 0.16.13 or later of mod 'Fabric Loader' (fabricloader), but only the wrong version is present: 0.16.9!
